name,username,bio
ZiQuel,@ZiQuel3,song writer | poet | singer | instrumentalist.
Akindele Brymoore,@ABrymoore,"In terms of principles n outluk in life,i guess i am a strong willed person n dat i am d type wu does nt go wt d flow.I value moral fiber n gud sense of virtue."
Real_Tukksdigital,@Oluwape71621895,anyhow ... just move
TBA Team,@YellowFire19,We 3D model and texture.
Petrovic Slavica,@sp1943893,"O sebi mogu reći da, pišem ono što želim reći. Pisanje je život moj, a mogu da pišem i o životu, tvom, ili o nečem drugom."
david peixoto,@david_peixoto,"Monarquista, maçom e torcedor do América RJ. Odeio ironias."
Esther Henry,@chubbybest69,Shy
Darlington Nwuju,@NwujuDarlington,I always Stand up for the Truth.
Oddsgetter,@horlamilekan109,iBlog | iPromote | iTrend | iBuild | iWrite | iEncourage Myself Gunners Fans
obimdi blessing,@dollychess,"Am cute, understanding nd fun 2 b wit."
Taurean Prince,@AderemiIfe,"An architect in making ,Free thinker, and #AmATaurus, #OmoOlofa, #Diehard Chelsea fan"
INVESTOR_TM,@TMcryptotrader1,"Experienced crypto trader & #bitcoin | brand ambassador
@Abitnetwork
|Gsm enthusiast|Web3.0|"
Husseini Ishaq Kwajafa,@HusseiniIshaqM1,SAIN
Broda Joshua,@boda_joshua,Anything that bring money and peace of mind Add me
Adedayo Adebowale,@Mr_science01,software engineer
Ericoo Ekpereoo,@ekpereoo,God is Good
margaret Terlesk,@MargretTerlesk,single and lonely...
Abdulrazaq,@Abdulra00118168,rasky monia
Odafe victor,@victor_odafe,"Graphic Designer, Entrepreneur, Web developer and Designer,software and mobile app developer... And.... Cool.."
ShakaZulu,@plato_vince,Legit hustler! Inventory personnel! I love trap musik. Proud fan of Meek Mill! Ardent lover of James Patterson's works....
Oyedeji Olawale,@oyedeji827,Art designer and web developer
kool KC,@KHA2_CO,2020
danelx nelson,@DanelxNelson,"An Affiliate marketer, digital marketer, writer, author, crypto exchanger, educationist and social commentator."
K a y y|,@AJAYIKayodeAyo1,Unilorite| Messi| FC| Chels| Raver|
Ghost,@GhostOfBadagry,certified satellite dish installer.. manager at satcomm towers...
Zee Ojodomo,@luckizee1,#God_First || Computer Scientist || FBI || Digital Marketer || Gentle as Dove || DM for more
Mr February 11th,@Rotty_gerald,New acct I'm mostly always bored soooo DM me good books( not devotionals or romance except it's a really great romance but no devotionals)
Lamyth,@Lamyth3,Loyal and humble...
Browser,@BROWSER5912,"never give up, you will be successful. Its all about coins, invest when you got the money to do so, i could show you where and how."
ERUJEJE,@Blackpanther918,"Am fun to be with ! A muslim An ardent Arsenal fan.. Whatever will be,will be (Que Sera Sera)"
Osaze,@OsazeIyokho,"Psalm 91 | Health Educator |Freelance and Ghost Writer | Content creator | Arsenal | Author | Admin:
@EarnestWrites
E-mail: iyokhoosaze1234@gmail.com"
Ejenavwo Ogba Great,@greatinho9,We may encounter many defeats but we can never be defeated... Life of a Philanthropist #Crypto Enthusiastic $DeFi Trader NFTS Fundamental & Technical Analyst
bede gabriel,@bedegab,Honesty a true thought in perception that comprehends friendships......
RONKE JOSEPH,@JosephRonke,You can't find another me
olamiofficial,@JimohOp79034572,simple
EGRET,@GreatEgret007,A GEM||Crypto Maniac||iDesign||iCreate||iDream|| I AM THE CAPTAIN OF MY SOUL
Triplet Daddy,@PHONEFATHER,"Co-founder
@IngantaRayuwa
| Human Right Advocate | Entrepreneur. | Problem solver. | Techie.| I am Gentle & Simple. I don't talk too much, but i do a lot."
Eclassic05,@IbitoyeEmmanu19,Lasuites #Political scientist #Educator #Model #Arsenal my DNA
Leman Gültekin,@LemanGltekin3,Siyaset
DÆNÏĒL,@dashinosm,Life is measured by achievement and not years alone!
Stephen Jacob,@CrypteX_O,cryptex#
embodiment of sadness,@Trinity59048802,#restorethesnyderverse
nelson,@urboy_nelson,A proponent of good movies $ music || student || University of Lagos || IFB
Official Mx Lawkeeper,@ItzLawkeeper,Computer science/educationist||Gamer||cruiser ||Simple||Jovial||Novel_addict||Rest!! IDK IBBULiTe
sneakshell,@sneakshell,"sneakers/crypto/nft gang. y’all see the sequence, Afterlife #638"
ibrahim labe,@labe_ibrahim,I no sabi
Ibe Favour,@IbeFavo89333573,Not available for stress
Babanla_of_life,@babanlaoflife,https://mintable.app/u/babanlaoflife
Petite_Ayo,@mariam_ayomide,"Estate surveyor and valuer. Love Chelsea FC, food, meeting new people and playing video games."
The Zee,@TheZee45415357,"last MAN standing graphics designer, script writer, and content developer"
He’s a Black Boy,@DavidsDavve,Chelsea DieHard fanBeachLover “You Can’t be unlucky Everyday “Stay Focus ..Yes You Can.. #Wizkid FC
Hayorbarmi,@Hayorbarmi2,Life is too short too be unhappy
Franklin Pablo,@FranklinPablo12,"#Blockchain-oriented #Realtor in the making|| Grace-Dogmatic||
@Burna
|| Works at….cut!|| Enterpreneur♟"
Marvs_Concept,@OfficialMarvade,Graphic designer/Cartoonist || Photographer || Web developer || Programmer || Drummer || Keyboardist ||
David Onoja,@DavidOnosh,Chemist Spoken word artist Content creator
Kiki_ Cut,@KikiCut24,"Am a professional barber , For home service Dm;+2349021527161"
NFT'S AIRDROP,@jeryjeff105,Always believe in yourself
Abubakar Mikail,@Abubaka81171257,serious prayer
Fola,@fola_officiql,"An icon Affiliate marketer with
@expertnaire
| fsade3600@gmail.com"
17N38,@kvng_umar,"Manchester united
@manutd"
OsEMzY,@osemhovic,"Sales, Marketing, CX specialist. love life, politics, sports and NIGERIA!"
Nivere NFT,@Nivere_NFT,Hi Please click up the link on my bio to see my #opensea collection #Darkafrik. much to you. Black_girl_magic Taurus baby Oh... and I follow back
CoinUp,@victorameh10,5th year Med Student. BlockChain developer. Crypto day-trader. Join our community; follow for the latest Crypto Update & FREE Trading Signals.
Ovietheking,@ovieisking2,the burner musician
Horla,@_officialhorla,NSG An introvert wizkid FC computer scientist
Olufolake Ajayi,@FolaFire,"Unconventional,success driven entrepreneur, author, educational consultant,social enthusiast,wholesome wife /mother. Praise magnet& Jesus lover."
Idris Loma,@loma_xd13,Money that all
Double bee,@DoubyUyats,That music lover / Beat maker/ #dreamchaser/ Full-time Producer #saniterian/ instrumentalists/ fan of Davido. bookings: doubrauyateide9@gmail.com
sheu abdulrasheed,@zamanisheu,"hustler, fashion designer, Olokun, Yorubaculturelover, learning Coding"
Dc Kenny,@DcKenny2,life of a savage ( Los) Graphic Artist Saxophonist Chelsea FC wizkid FC
follow after i like or retweet I’ll fb,@Babkam5,Historian and philosopher. No Cap . Coolest and hottest
OluwadeMiladE ADEsanya,@Demi85092835,"Art! I think for a living! Yes, I design! Anything blue goes^°°! AVICIÌ 4l"
Adebowale Ogunyomi,@AdebowaleOguny1,"I am cool and straight forward person,in to welding and fabrication vbank 1005747304"
Dr. Easymoney,@ChikereEbirim,Easy life
Edgar Rowen,@EdgarRowen01,try me.
Elijah Ishaya,@ElijahIshaya6,Just be who u are Not to look down on someone
Buklous.eth,@buklous,your number 1 portrait and event photographer
Abraar2020,@Toru7369,Gentle
Shalom Bruk's,@shalomspage,Web Dev | iCT Web Dev | iCT Consulting | Cyber Security | Media & Public Affair | Disciple of Christ| Cyber Security | Media & Public Affair
Tragic bouy NFT,@fq_tragic,Music producer|Cinematographer|Love NFT| started my NFT journey|Unique collection of Tragic bouy
Cee_Chydeˢᵀ,@CeeChyde,"I bring with me fun,more fun and lots of fun!!!"
Warren Aguilar,@Nottooold4W,"Early bitcoin adopter,Advisor,sell-side analyst. #Bitcoin #Ether #Dodge #Ada ETC. #NFT. Managing Partner http://Coinstunner.com"
Prosper onyebuchi,@Prosperonyebuc6,Crypto trade Bitcoin Xrp
john emmanuel,@johnnyjuiceee,NFT hub$$$$$
Danny,@_DanBob,Engineering and Technology contents.
park Jimin,@Elevationmood,elevation mode
YOUNG S APPLE,@YOUNGSAPPLE3,"Am na artist, songs writers,and more"
What Real Estate Means,@RealEstateMean,WHATREALESTATEMEANSISNOWHERE -what you see depends on the way you look at it
Jacobezekielayobami,@jacobezekielay1,DM 4 logo design
Kayturelle,@kazayfirs,♧♧♧*NUTRITIONAL WELLNESS COACH* *ONLINE CLASS TEACHER* *READ/WRITERHOLIC* *NEWS JUNKIE* *SPICE FORMULATOR* *MAN-UNITED FC* JANNAH ASPIRANT.♧♧♧
Chief Alhaji Dr Pastor Oluwo King OJ𓃵,@OlamideOjay,LASUite || Mechanical Engineer || Man of Tranquility || ÖMÖ kan biiii 1MILLION || YBNL Stan
therealharmuda,@therealharmuda,am just a cool guy
Devil,@Kinpluto_inc,"i L♡̬̩̃E making friends especially with You ! i am a renowned member of #MUFC.Ma blood is red ,am not blue cos am not #cyanosed. #KinPluto Incorporation."
Betty Adenikinju,@Herroyalthickne,Chubby and proud of it
Obamiyi Temitopes,@Tophethym92,Kul guy
Ahmmed babatunde,@Tundefoodhub9,"If you think looks are everything, then I’m your guy."
WittyB,@bernsv2g,NFT Collector | Web3 Enthusiast | #3055 Mad Hare Society | Creative
machollas,@machollas,Am a graphics designer
"Amb. #B€N$0N $UCC€$$ GCN, GCFR, GCON",@eralle,Passion for positive change.
Victoria Alex,@VickysGlam,A professional makeup artist Uyobasemua
Saifillahi Sani,@Saifuwaira,Architecture
Brianna Adkins,@Brianna4270036,Automated
Anomalia Studio,@StudioAnomalia,Storier
IT'S YOUNG ALHAJEE,@h_jotko,Alhamdulillah for everything
JOJIT ABLAZA,@ablaza_jojit,#SUPERFAMILY
prime,@badmus199090,"ll,Nigeria by Birthll ll /futminna Alumnill/ Statistics.. /Arsenal Fc /"
Akeem Tajudeen,@adekimson131,DIGITAL MARKETER adekimson131@gmail.com
다크골렘,@AKFLDH234,안녕하세요 저는 유튜브크리에이터이자 어마금팬이자 투러브다크니스팬인 전윤성이라고합니다
Xavier.ace.eth,@xavier_ace_,"capturing memories and documentry |Photographer, cinematographer |for bookings: 08137100318. IG
@xavier
.ace_"
Lucio Santos,@LucioSa54337074,uno dododo1
Mark Bacarro,@bacarro1_mark,positive thinker
Bamos12,@bamos12,All is well.
AfricannaNFT,@AkinadeBoluwat3,"Fun, enterprising , NFTcreator, Forex trader, PhotographyNFT"
Solomon Nnaji.Ξ,@SoMuchBeam,Art | NFT | Crypto | Gaming
Detonador de sueños,@Jelrengo,Sé que soy un soñador que no encaja con las normas en este mundo// 100% BOSTERO! Riquelmista a muerte
L’awale,@lawale1st,ab!N!b!
Marco Polo,@LeoMakwulf,Orderly Compassionate Stoic | | iRational frenzy reined by reason and self reflection.
Cruz,@excella_it,"A Christian, An entrepreneur, A father with the sauce.."
invisible support,@Gzyhacker191,cyber hacker /Recovery for all •instagram hack /unlock Facebook hack\Recovery snaps hack \Recovery Gmail's hack\Recovery
A guy that has no name,@Josh52585896,I pledge to catch cruise all my life and make more money
Àdìsá,@ProperOgunBOY,The man told is DIGITAL
Aesta,@MizXta_,outgoing introvert Prosthetist and Orthotist || Pro MUA || Tech enthusiast
Dija Royce,@dija_royce,I pray and i slay
Taylor khashcol,@khashcol,Getting better everyday
JOGGER_BOY,@JOGGER_BOY,1000 unique collectible characters with proof of ownership stored on the Ethereum blockchain. The project that inspired the modern CryptoArt movement.
Ricch Crypto,@RicchCrypto,Fashion
SUBARU_BOY,@Dhayvid20,Wannabe hairstylist And computer programmer
THE WISE ONE,@THEWISE67,Work hard till you achieve your goals
Donaldiv,@Donaldiv07,eBooks are a great way to sell yourself or your service. I can help you in ghostwriting a perfect and error free ebook on any of your desired niche. #ebook
Honext,@thisishonext,Tech and the Future...
Malina james,@Malinajames8,"Data analyst, stylist, crypto"
Ibrahim Adam,@Ibrahim77775762,jovial nupe
Bldr Alfa Ladan,@AlphaSamaila,"Buildability and Maintainability analyst, project manager, ghostwriter. Addamangamultitask."
Olayinka,@_OlayinkaO,God first Microbiologist@ OAU//mixed//Scholar @ FAA link up and let's get to know each other #Sidehustleinternship5.0 IG handle@prewtyqueen.
Abubakar Muhammad Sabo,@Sadeeq449,Unknown
Temitope,@pharjtee22,"I made gift boxes, package boxes of any sizes,,I also print on any surface thank you,you can DM me to patronize thanks"
Daniel Pedreira,@pedreira_alves,"I'm not fake, I let all my social networks prove it, please, I don't like fakes! Speak only in Portuguese with me. telegram:
@Pedreira26
Insta:
@danielpedreira1"
Lord Askay♟,@askayinyass,"Law #mufc The weeknd XO, Snap: askay2495"
Olawale Bright,@OlawaleBright8,Male
Ocean's Thoughts,@FatoluEmmanuel1,"A God lover, a Geophysicist, a naturalist, a Thinker, an Idea machine, a Great Lover, a Radio when I feel like it, a Super Woman, and also a great cook."
Odogwu Odogwu,@OdogwuOdogwu4,Kind.
famous tee,@adeboye_okiki,calm and gentle
NFT LORDS,@Samuel02927721,FOLLOW ME FOR NFTs giveaway
Mr success,@ramonayodeji84,I’m simple and gentle guy and I like politicians and sport update
Est.11/11,@Abubakar_Slim,Farmer without a Cutlass Keep It Simple n Sauve(KISS). Real Estate enthusiast Business minded http://linkedin.com/in/abubakar-mo…
Olusayo Christie,@shayoadetona,"Fun-loving,suave&easy-going."
Damilola,@Damildan,"Anime lover , WizKid fan"
Ibrahim H. A.,@Jongas37,Simple but difficult to understand
Quantum Shrine,@Frankeden45,"quality personal, non smoker/ Chelsea fan for life, content writer, physicist, motivator. #LATOKEN"
Alphan Coşkun,@alphancoskunn,yessir
Uji Fidelis,@FidelisUji,it's Me Vs Me freelancer Content creator
Emjay,@omohvictor3,Data Analyst || Data Scientist|| Son of God|| Entrepreneur || forever in profit|| student
김종실,@gimjongsil,현실
Prince Okechukwu,@PrinceO11321246,Eye sart
Ay_loyd,@Ayloyd_22,Finnese
AbdulMuheez,@JamesNo38295006,"Creating a life, I love Simplicity is the key to happiness In a world of worriers, be a warrior"
pmoney,@pmoneyenterpris,Am a painter
milly fennan,@fennan_milly,OFFICIAL ACCOUNT
Adelakun Oluwatobi,@AdelakunOluwa14,"Oluwatobi, the smart and intelligent designer of this century.. with ability to build an empire where lives will be touched..."
ADE!!!,@ade_recent,a new dimensions of me.
Guru Leostan,@guru_leostan,Life Coach// Motivation & Sarcasm// Passion for Teaching & Learning// C.E.O : #TMTH Microbiology*Photography*Education #LeostanQuote
Stephen-Jerubba'al,@SJerubbaal09,Technical writer | Project Manager | Electrical Engineer | Sex and Mental health Counselor | Talk-active | Human.
lasbooorn,@iam_lasboorn,All Sports Football Entertainment International Music International Entertainment TV Music Sports World News
Pest ahh,@Fatherpester,Mantente fiel Sólo se vive una vez
Shehu,@Shehuna2,"Quite and polite, Android Developer, Newtork Security Associate, Software Engineer by Training, Blockchain Technology Enthusiast And more to come, God grace."
Lucy Durelo,@Lucydurelo,Mom 12/15... Business minded...
TexMeansBizness,@p_emevo,"Investor, Entrepreneur, Content creator, Copy writer, Digital Marketer"
Emmanuel,@Emmanue90574859,"Am a boy who doesn't give up ,so far there's life, there's hope #TeamDecka #slickgang"
Mamantessy,@mamantessy,I really love my mom no one like her in this world
Ajibade Lifestyle,@Aji_phemmy,Bassist|Basketball|Event Decorator|Madridista
Gids SWAP,@latti_more,https://wa.me/+2349038958941
okeho nile mi,@OkanLawal,I have a degree in English |A Teacher|Thinker|Team Lead/Climate Change Advocate/SDGs/Poster/Progressive Youth
Bobpsmart,@BabatundeOmote1,"Oil color Artist | Acrylic Artist | music nerd | #Pantheist | Comic nerd | Therapeutic Artist, #NftArtist, painting the DAO . https://opensea.io/collection/the-heart-do-speak…"
juwe curfew,@CurfewJuwe,im not a digital artist i am a filipino All i want is my own life size wrestling Belt support my nft http://opensea.io/fishamaniaNFT
elkince,@betosch10,"Respiro fútbol. Siempre Bokita. Si, solo voy a twittear de fútbol"
Chris,@chris_ceejeey,©☞ Truth and Honesty ☆☆⊙○●•♬
mã yør,@AyomikunSamson6,stay okay and alive
"S. A. Tsokwa, Esq.",@lawbitss,Man of God | Husband | Father | Legal Practitioner | Arbitrator | EndHunger/End Poverty Campaigner |
Perfect Fm,@perfectedfm,Perfectly... femi
Heng Chia,@HengChia48,TRON is dedicated to building the infrastructure for a truly decentralized internet
Márcia Freire,@mrcia_freire,Viver um dia de cada vez
YABANCY ne,@dayyabusulaima3,Yabancy
Drey Blunt,@TheBlunt0ne,Big Dreams to fulfill! #EndBadGovernanceinNIGERIA
Cloud Tech,@Olamiposi_Cloud,A programmer and more
KARIQ™ 𓃵,@officialkariq,#KariQ𓃵 DronePilot| ikill Rapist| CCTV|Cybersecurity expert| COOPERATE HUSTLER| Human right activist| photoprenuer| #NFTstudent | GINGER FARMER
Wunderkind,@Phemmah_kolbe,Explore Talent - Creative songwriter... +2348166320104 agbedeemmanuel2@gmail.com
Ejims Darlington,@Odogwu_Ikenna,controversial with an emulative character
Mkhalidjahun,@Sirjahuns,Richiness is not aboundant of wealth Rather self efficient An Animal health self employee Family Hustler Business minder Madrista
EZEOCHA Joy,@JoyEzeocha,LOVING
Do better.,@jerryBabaleye,Digital Marketer / New-Breed Leader / Passionate about Growing Brands and Nation Building .
Kingroye/Glory ALLSTAR,@kingroye1,"freelancer, writer and editor."
Daddy yusuf,@Daddyyusuf10,Yusuf Muhammad Bello known as daddy
chidoro_faith,@ChidoroF,"NFT creator, graphic artist...check out my portfolio: https://behance.net/gallery/137793887/My-works…"
Usman,@Usmanhusayn333,Lonely
Lawal,@Lawanzy3,It is what it is
Ayşen Baloğlu,@aysenbaloglu,"I am a cartoonist, illustrator, author of children's books and NFT artist. I love traditional art and the puppet-like poses. :) http://opensea.io/aysenbaloglu"
El-muaz,@Elmuaz33,"if you love, I love you bana son Raine my friends.... Dan talaka ne!!!"
iMBdigital.Gallery_,@ImbFrank,Curated digital photo projects are regularly turned into NFT and marketed on open digital platforms.
mummy's gal,@AishaAb09048399,Mummy's daughter daddy's pet
Kenny27,@Kenny2735169179,am just me!!! Eddy k
K!ng St!fler Of Canada,@iamBawzCartel,Artiste | Model | YouTuber | Content Creator | Brand Influencer | Cheveux Organic Cream Plug | Brand Name Creator | Cocktail Mixologist | Ads/Promo- DM
king_author,@abba_author1,"I am Historian, we no about any cultural, of any society in national development and undeveloped nation."
Abdulmumin Abiodun Ahmed,@Buganty,"Teaches about advance school of life, Life coach, Digital marketer, Financial Advicer, Techologist"
Ijebu Boy,@AdesanyaFemi10,CEO Desambeg Nig Ltd||Environmental Health Consultant|| Politician.
Kilani Fawaz,@fawaz_kilani,Me
Sonia Churchill,@SoniaChurchil15,#superfamily
chase,@Alexjohnson626,"Data scientist, ML engineer in the making. Arsenal Fan"
Emyris1990,@emyris1990,Just humble
Digital Marketer,@Skeleddon,Digital Marketer/Currency. *We create and execute Digital Marketing strategies. We work with you to capture and convert your target audience. +2348130693582
Tumisang,@Tumzafunk,#Beastmode
chellsys Forehand,@ChellsysF,"If stars would fall everytime I would think of you, the sky would soon be empty."
Zorla,@mueezgram,I’m a beginner in crypto $FTM
Eddy,@El_Homeboi,There are no short cut to life greatest achievement
Gilmar A Souza,@GilmarA73616159,"Patriota, empresário brasileiro, confiante, apostando tudo nesse governo, acredito sinceramente que é possível mudar esse país."
Tudor Alexandru Chisner,@tudy2111,“Poor people have big TV. Rich people have big library.”
Okum Raymond,@the_rhaymond,"Zoologist, Environmental Biologist and Biochemist. Aquarius , Hopeless Romantic."
Ayomide,@Ayomide42889254,A simple and gentle person
Elbechi,@Amos23lee,Believe to yourself
Akorede Champ,@Akorede98832275,Na Time to Tell _sainteye NFT_
makinde victor,@victor388,I'm Red
SultanOfLagos,@DaraSpellz,God will not come down to do what he's given us the power to do. Aisha Yesufu 2020
Krypto Knight,@Jamespe63322760,Professional shiller moderator and graphic designer
Chicey,@Chiceeeyyyy,Nothing can separate me from the love of God digital marketer ... Student.. middle child.. single babygirl
Lurd Millz,@lurd_millz,. Musician | Social Media Marketer.
mercyfindme,@richardokoroo,ccc
Omodiminiyi_OE,@OeOmodiminiyi,SEO Content Writer| Blockchain| Metaverse| Web 3.0| Cryptocurrency
WellsOfAbuja,@EphraimWells,|||Computer Scientist||Data Analyst||Professional Fine Boy||Man UtdBoy||CR7|
AK47,@snyparyfle,"Just Snypa - Cock, Aim, Fire (Repeat Steps)"
Wutche Chikaome,@W_Chikaome,#programmer
Oshidipe Abdrasaq od,@OshidipeO,"a nigerian, married,works as a production head/technician at an electronics assembly company in the state of osun"
IG:Abokionimotto,@abokionimoto,BUSINESS PAGE BTC n all FUNDS/BUY n SELL all CARS/ SERVICES /CAC/ LOAN PACKAGE WITH BOI/ BRANDING/ DIGITAL MARKETER / FRAMING08133661650 OSOGBO OSUN STATE
إسمي مبارك Đ ŃFŢ,@Just_abolore,"2022 Profile: Energy|| Traditional Investment|| Digital Investment (crypto, forex and stocks)|| NFT²xNFT²|| Politics|| Languages(中问,英文)|| Breakthrough"
JAPAN,@kingsmalljapan,My tomorrow gonna better than today proud. oníṣẹ́se
Ayooluwa Joshua,@1_gflame,"Freelance Journalist, Content Developer, Idealist, Technologist and Growth For Humanity Advocate."
YA Bajoga BAT,@y_bajoga,"Hold B. Tech Business Management (ATBU), ND BUSINESS ADMINISTRATION. INTEREST In Private sector, Marketing, international business and Politics. I am BUHARIST"
sunflower,@Myconcern2,"A Nigerian (South Westerner). Male. Love Christ, Music %(R&B + Gospel). I Sing. Leadership + Finance + Skills. Chelsea FC.Crypto. ICT. Hate Bad Politics"
Prince Psymon,@PryncePsymon,I'm a lover of the strength of words. Use words wisely. You already have a perception...and im too lazy to correct that.
Stoner,@Stoner73679015,Successful
Gotham,@vickins22,an agricultural engineer..& consultancy..animal nutritionist...die hard man United..NFT
Deja,@DejavuTheGhost,"one way no enter market.
@olamide
__stan YBNL ARMY"
Sammy Po,@iamsammypo,Crypto enthusiasts
Magnificent Tech hub,@magnificent_hub,Magnificent Tech hub is a cover for 2 different services; Magnificent gadget and accessories... Magnificient Tech...Aluminum and solar installation
Samuel Ezekiel itopa,@SamuelE04886384,"an online entrepreneur, forex gurus, a youtuber, content creators,"
𝕄𝕣 u⃠s⃠d⃠,@ArewaGoodboy01,I’m simple looking for a simple to simplify
Derick,@Trifecta_001,•Blockchain/Cryptocurrency• #Pancakelock_ #SocksyNFT #Flexxng #Onek #GiveStation #HoviExchange #NFT #SOL
Aserikorigha Faghawei joel,@PETJOXONE,"Dog breeding,pet supplies ,pet logistics"
Gabbie,@Frannahgabriel1,Singer/songwriter/dancer/football freak/Cule/chemist/UNN last born/Tech enthusiast
adebayo korede,@yahubarbber,Yahubarber
Camílo,@Camlo07755087,inversor autodidacta astrologo tarotista
Ebi valentine,@Yungzzybrain14,my name is Ebi valentine single search of matured ladies
